ID Number,Title,MKEY,Category,Localized Subject/Theme,LCSH Subject/Theme,Current Countries,Previous Countries,Editor-in-Chief,Photographer(s),Writer(s),Artist(s),Map and Diagrams By,Back Publishing Info,Maker,Contents,Description,Issue No.,,Issue No. (Sort)
2024.056.001,"USSR in Construction No. 1, 1930 ",56971,Agriculture & Food Production; Collectivization & State Farms; Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Transportation Infrastructures; Factories & Assembly Lines,Oil industry modernization in Baku & Urals; Soviet industrial expansion in machinery; electrification & transport infrastructure; mechanized agriculture and state-run grain farms,Petroleum industry and trade—Soviet Union—History; Oil fields—Azerbaijan—Baku—History; Steel industry—Soviet Union—History; Machine-tools industry—Soviet Union—History; Agricultural machinery—Soviet Union; Collective farms—Soviet Union; Railroads—Electrification—Soviet Union; Industrialization—Soviet Union,Russia; Azerbaijan; Kazakhstan,Russian Soviet Federative Socialist Republic (RSFSR); USSR,G. L. Pyatakov,"T. Bunimovich; B. Kosak; G. Petrusov; A. Shaikhet; N. Shterzer; B. Ignatovich; B. Lukin; A. Grigoriev; D. Debabov; Staff photographers at Selmashstroi, Russphoto, Presscliches, and Peasant Newspaper",-,"O. Deineka (cover); V. P. Mikulin (manager, Technical Art Department)",-,"ILLUSTRATED MONTHLY MAGAZINE
«THE USSR IN CONSTRUCTION»

PUBLISHED IN ENGLISH, GERMAN, FRENCH AND RUSSIAN
VOLUME 1, No. 1

EDITORIAL NOTE … 3

«AZNEFT»
PHOTOS BY T. BUNIMOVICH, B. KOSAK, ETC … 4

URALOIL
PHOTOS OF «URALNEFT» … 14

«ELECTROSTEEL» PLANT
PHOTOS BY G. PETRUSOV … 16

KOLOMNA WORKS
PHOTOS BY G. PETRUSOV … 18

«RED PROLETARIAN» WORKS, MOSCOW
PHOTOS BY G. PETRUSOV AND A. SHAIKHET … 22

«SEVKABEL» PLANT, LENINGRAD
PHOTOS BY N. SHTERZER … 25

LENINGRAD METAL WORKS
PHOTOS BY N. SHTERZER AND B. IGNATOVICH … 26

BOAT BUILDING IN LENINGRAD, NORTHERN
WHARVES AND BALTIC SHIPYARDS
PHOTOS BY N. SHTERZER … 30

«KAZITZKY» FACTORY, LENINGRAD
PHOTOS BY N. SHTERZER … 34

«SELMASHSTROI», ROSTOV-ON-DON 
PHOTOS BY «SELMASHSTROI» AND B. LUKIN … 36

SOVIET GRAIN FARM «GIANT»
PHOTOS BY «RUSSPHOTO», «PRESSCLICHES» AND «PEASANT NEWSPAPER» … 40

ELISTA, KALMICK CAPITAL
PHOTOS BY A. SHAIKHET … 46

«RED OCTOBER» ELECTRIC STATION
PHOTOS BY A. GRIGORIEV … 47

COVER PAGE - O. DEINEK
TITLE PAGE - PHOTO D. DEBABOV

EDITORIAL BOARD: G. L. PIATAKOV (CHIEF EDITOR), M. GORKY, A. B. HALATOV,
M. E. KOLTZOV, F. M. KONAR, S. B. URITZKY CONSULTING ECONOMIST V. V. KRILENKO. MANAGER TECHNICAL ART DEPARTMENT V. P. MIKULIN

EDITORIAL OFFICE: USSR, MOSCOW, KUZNETZKY MOST 21, YEARLY SUBSCRIPTION -$5, 6 MONTHS - $2.50, 3 MONTHS - $1.50. FOREIGN SUBSCRIPTIONS ACCEPTED BY THE «MEZHDUNARODNAYA KNIGA», INC.

SECOND EDITION
GLAVLIT NO. A-51650

PRINTED BY GOSNAK. MOSCOW PAPER AND COLOURS OF GOSNAK
",State Publishing House of the RSFSR,,"Oversized yellow magaine journal with red writing. The beginning covers Baku, Azerbaijan's industrial landscape including oil fields and refineries. Throughout the USSR it highlights crackling plants, oil plants, electro-steel plants, diesel shops, and locomotive assmebling and electric railroads. Additionally, it highlights agricultural machinery production, worker housing and social infrastrure such as worker apartments and playgrounds for workers' children. Photographs throughout show possible image maniuplation or photoshop.",1,,1
2024.056.002,"USSR in Construction No. 2, 1930",56972,Electricity & Power Plants; Labor & Workers; Light Industry & Consumer Goods; Urban Development; Worker Housing & Communal Life; Public Life & Cultural Spaces; Factories & Assembly Lines,Textile industry; workers' assemblies; spinning machines; worker housing; hydro-electricity; Transcaucasia; museums; monuments; ,Soviet Union—Economic conditions—1917–1945; Textile industry—Soviet Union—History—20th century; Electric power production—Soviet Union—History—20th century; Industrialization—Soviet Union; Labor—Soviet Union—History—20th century; Factories—Soviet Union;  Housing—Soviet Union—History—20th century; Transcaucasia—Economic conditions—20th century; Soviet Union—Cultural policy—History—20th century; Monuments—Soviet Union—History,Armenia; Azerbaijan; Georgia,Transcaucasian Socialist Federative Soviet Republic (TSFSR); USSR,G. L. Pyatakov,-,-,N. Troshin; Olga Deineko,-,,State Publishing House of the RSFSR,"The Capital of the Soviet Textile Industry – Ivanovo-Vosnesiensk; Dzerzhinsky Factory – p.2; Krasnaya Talka – p.4; Metallurgical Factory No. 1 – p.7; The Old and New Ivanovo-Vosnesiensk – p.8; Melange Combine – p.10; Paroelectrocentral and IVGRES – p.13; Workers' Buildings – p.14; Construction in Transcaucasia – p.16; Electrostations in Transcaucasia – p.19; Textile Mills, Baku and Leninakan – p.22; Gandja Textile Mills – p.23; Tiflis Woolen Mills – p.24; Selection Stations – p.25; Kutais Silk Mill – p.26; Diverse Factories – p.27; Caspian Boat Company – p.28; Cultural Building – p.29; Monument to 26 Commissars – p.32","Oversized tan magazine journal with red writing. Covers various industrial initiatives including spinning, textile, bleaching, wool, and silk mills. Weaving factories, electric dams, and state boat companies are also featured. Photos of women and men workers are displayed throughout as well as workers' housing. Another highlight covers initiatives in Baku,Transcaucasia, featuring Baku women and workers.",2,,2
2024.045.003,"USSR in Construction No. 3, 1930",56302,Electricity & Power Plants; Urban Development,Electricity; Power Plants,Electric power plants—Soviet Union; Electrification—Soviet Union; Electric power—Soviet Union; Energy policy—Soviet Union; Industrialization—Soviet Union; Technology—Soviet Union; Five-year plans (Soviet Union); Power resources—Soviet Union; Infrastructure (Economics)—Soviet Union,Russia,Russian Soviet Federative Socialist Republic (RSFSR); USSR,G. L. Pyatakov,T. Bunimovich; S. Golestein; E. Kruze; V. Mikulin; G. Petrusov; Press Cliche; Russphoto; A. Skurichin; Harkov-Rabis; N. Shtertzer,-,-,Map of District Electric Power Plants,,State Publishing House of the RSFSR,"Electricity — Energy Base of Socialism; p.2; Map of District Power Plants; p.3; Volchov Power Plant; p.4; ""Krasny Oktyabr"" (Red October) Power Plant; p.5; Kashira Power Plant; p.6; Shatura Power Plant; p.8; Shterstroi; p.10; ""Instorf"" — Central Scientific Peat Research Institute; p.12; Teplotekhnichesky Institut (All-Union Thermo-Technical Institute); Elektrotekhnichesky Institut (Electro-Technical Institute); p.16; Kondopoga; p.18; Svirstroi; p.18; District Power Plants; p.19; ""Electrosila"" — Electric Machinery Works; p.22; ""Dynamo"" Works; p.24; Moscow Electro-Works; p.26; ""Electropribor"" — Electrical Instruments Works; p.29; Electrification of the Village; p.30; Data on Power Supply and Construction of State District Power Plants; p.32",USSR in Construction Volume #3. Issue has a yellow cover and highlights progress in constructing electric power plants throughout the USSR. Features black and white photographs showing the construction or enlargement of numerous electric power plants by district including notable various institutes developing methods of expediting electrification. Back of the magazine shows graphs charting the rise in capacity of power plants and supply of electric current by year with projected goals for electrification by the conclusion of the Five Year Plan.,3,,3
2024.056.003,"USSR in Construction No. 4, 1930",56973,Electricity & Power Plants; Labor & Workers; Transportation Infrastructures,"Dams, Bridges, Railroad",Dams — Soviet Union; Bridges — Soviet Union; Railroads — Soviet Union; Hydro-electric power plants — Soviet Union; Industrialization — Soviet Union; Labor — Soviet Union; Turkestan-Siberia Railway,Russia (Siberia); Kazakhstan; Kyrgyzstan,Russian Soviet Federative Socialist Republic (Siberian region); Kazakh Soviet Socialist Republic; Kirghiz Soviet Socialist Republic; USSR,G. L. Pyatakov,-,-,N. Troshin,"Illustrated map of railways along the boarder of Kirghistan, Kazakstan, China and Siberia",,State Publishing House of the RSFSR,The Dnieper Hydro-Scheme p 1-32; ; The Turkestan-Siberia Line p 33-48,"Red and Light Brown color front color. The content is about dam constuction, worker's life and the construction of Turkestan-Siberia line.",4,,4
2023.059.001,"USSR in Construction No. 7-8, 1930",54067,"Urban Development; Worker Housing & Communal Life; Youth, Culture, & Education; Public Life & Cultural Spaces",Capital cities; housing; culture; schools; telephone stations; stadiums; post offices,Soviet Union—Capital and capitol; Cities and towns—Soviet Union; Urbanization—Soviet Union; Housing—Soviet Union; Public architecture—Soviet Union; Infrastructure (Economics)—Soviet Union; Communication—Soviet Union; Education—Soviet Union; Cultural policy—Soviet Union; Soviet Union—Civilization—20th century; Soviet Union—Politics and government—1917–1936; Soviet Union—Economic conditions—1928–1937; Monuments—Soviet Union; Art and state—Soviet Union; ,"Ukraine, Belarus, Georgia, Tajikistan, Turkmenistan, Uzbekistan, Russia",Ukrainian Soviet Socialist Republic; Byelorussian Soviet Socialist Republic; Georgian Soviet Socialist Republic; Tajik Soviet Socialist Republic; Turkmen Soviet Socialist Republic; Uzbek Soviet Socialist Republic; Russian Soviet Federative Socialist Republic; USSR,G. L. Pyatakov,Unionphoto; A. Shaihet; I. Malyshe; A. Skurihin; A. Sterenberg; B. Kudoyarov,-,-,Map with capital cities,,State Publishing House of the RSFSR,"The Russian Socialist Federative Soviet Republic; the Ukrainian Socialist Soviet Republic; the White Russia Socialist Soviet Republic; the Transcaucasian Socialist Federative Soviet Republic (the Soviet Socialist Republic of Azerbaijan, the Soviet Socialist Republic of Armenia); the Turkoman Socialist Soviet Republic; the Uzbek Socialist Soviet Republic; the Tajik Socialist Soviet Republic; the Union of Soviet Socialist Republics","USSR in Construction, issues 7-8 from 1930. USSR in Construction was a landmark Soviet art magazine, issued from 1930 to 1941 to celebrate the achievements of the first two Five Year Plans and (through various foreign-language editions) to propagandize the stark contrast between the vibrant Soviet economy during this period and the stagnation of Western economies under capitalism. It was published in Moscow by State Publishing House of the RSFSR and this specific first edition issue was published in 1930. Pyatakov, G. L. is listed as the chief editor and Toshin, N. was the layout artist. The front cover of this edition has a dark red background with red text with the title taking up most of the space. Below the title is the issue number, the year, and the publishing company. The back cover uses the same color scheme and contains the year in the top right corner, ""Made in the USSR"" in the bottom right corner, and a hammer and sickle in the bottom left corner. This issue is entirely devoted to the capitals of the consituent Soviet Republics of the Soviet Union at the time: Moscow, Harkov, Minsk, Tiflis, Stalinabad, Ashkhabad, and Samarkand. There are 48 pages with photgraphs depicting various monuments as well as aspects of daily life such as education and transportation. There is light wear along the spine-fold and wrapper extremities, with a few short tears to same, and two clear tape mends on verso.",7-8,-8,7
2024.056.004,"USSR in Construction No. 9, 1930",56974,Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Light Industry & Consumer Goods; Mining & Resource Extraction; Locomotives & Automobiles & Shipbuilding; Factories & Assembly Lines,Metal; mining; mills; metal factories; automobiles; engineering; textile factories,Metallurgy—Soviet Union; Iron industry and trade—Soviet Union; Factories—Soviet Union; Mines and mineral resources—Soviet Union; Locomotives—Soviet Union; Automobile industry and trade—Soviet Union; Textile industry—Soviet Union; Industrialization—Soviet Union; Engineering—Soviet Union; Labor—Soviet Union,Russia (Siberia); Russia (Ural Mountains); Ukraine (Crimea),USSR,G. L. Pyatakov,Unionphoto,-,-,-,,State Publishing House of the RSFSR,,"Oversized black magazine journal with red writing. Covers the construction and metal transformation of the USSR through photographs of factories such as locomotives, mills, and furnaces. Photos of towns are also present throughout and photos of workers. The last page has a chart of iron output.",9,,9
2019.010.002,"USSR in Construction No. 10-11, 1930",41058,Agriculture & Food Production; Collectivization & State Farms; Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers,"Agriculture, Farming, Metal, Oil, Labour",Collectivization of agriculture—Soviet Union; Agriculture—Soviet Union; State farms—Soviet Union; Collective farms—Soviet Union; Farm mechanization—Soviet Union; Agricultural machinery—Soviet Union; Tractors—Soviet Union; Grain—Soviet Union—Storage; Greenhouses—Soviet Union; Agricultural education—Soviet Union; Labor—Soviet Union; Labor policy—Soviet Union; Metallurgy—Soviet Union; Petroleum industry and trade—Soviet Union;,Russia; Azerbaijan; Kazakhstan,USSR,G. L. Pyatakov,T. Bunimovich; B. Kosak; G. Petrusov; A. Shaikhet; N. Shterzer; B. Ignatovich; B. Lukin; A. Grigoriev,-,O. Deineka (Cover); D. Debabov (Title page photo),-,,State Publishing House of the RSFSR,"For Socialist Agriculture; The Indivisual Peasant Farmer of Today is the Collective Farmer of Tomrorow; The Five YTear Plan for Collective Farms in Two Years; The Sovkhov (State Farm) is the Guiding Force of Collectivization; Metal, Crude Oil, and Collective Labour on Common Land","USSR in Construction magazine, 1930, No 10-11, black and white, sepia images of agriculture and farming. Contents: focuses on agriculture and farming, agricultural education, state farming system, farming machinery, tractors, grain elevators, silos, Rostov agricultural machinery factory, experimental greenhouses",10-11,-11,10
2019.010.003,"USSR in Construction No. 12, 1930",41059,Factories & Assembly Lines; Global Exchange & Trade; Heavy Industry & Raw Materials; Labor & Workers; Mining & Resource Extraction,Copper; Cement; Asbestos; Silica; Clay; Aluminum; Glass; Zinc; Quarries; Salt,Metallurgy—Soviet Union; Copper industry and trade—Soviet Union; Aluminum industry and trade—Soviet Union; Zinc industry and trade—Soviet Union; Cement industries—Soviet Union; Asbestos industry—Soviet Union; Glass manufacture—Soviet Union; Salt industry and trade—Soviet Union; Quarries and quarrying—Soviet Union; Clay—Soviet Union; Silicates—Soviet Union; Mineralogy—Soviet Union; Nonferrous metals—Soviet Union;,Ukraine; Russia,Ukraine; USSR,G. L. Pyatakov,Unionphoto,,B. Ender,,,State Publishing House of the RSFSR,Krasno-Uralsky Medeplavilny Kombinat (Red Ural Copper Smelting Combine); Copper mills in Kolchugino; Copper smelter at Korsak-Pal; Ridder Polymetal Combine; Zinc mills at Constantinovka Station; Zinc mills at Belovo in Siberia; Novorossiysk Cement Plant; Ural Asbestos Mines at Bazhenovo Station; Lubertsy Silicate Works; Clay pits at Chusov-Yar and fire brick works at Semiluki; Aluminstroy and the Experimental Aluminium Works in Leningrad; Central Institute of Non-Ferrous Metals and Applied Mineralogy; Glass and bottle factory at Constantinovka; Digging salt on Lake Baskunchak; Diabase quarries on Lake Onega,"Magazine with tan/beige cover, red and black text, and black, blurred stamp that reads ""Research Dept. of Metro-Goldwyn-Mayer"" at top. ""1930"" written in charcoal at bottom right corner. Magazine chronicles the development of the Red Ural Copper Smelting Combine and explores the economic implications of this new industry for the Soviet Union. Abundance of black and white photos showing the construction of this site, its internal mechanisms, and several other newly developed raw-material mills/quarries throughout the USSR.",12,,12
2019.010.004,"USSR in Construction No. 1-2, 1931",41060,Electricity & Power Plants; Labor & Workers; Light Industry & Consumer Goods,Printing; Papermaking; Paper and Cellulose; Newspapers; News Media; Radio and Broadcasting; Electrical Equipment; Socialist Construction;,Electric utilities—Soviet Union; Industrial productivity—Soviet Union; Paper industry—Soviet Union; Printing—Soviet Union; Publishers and publishing—Soviet Union; Radio broadcasting—Soviet Union; Newspapers—Soviet Union; Soviet Union—Economic conditions—1917–1945; ,Russia; Turkmenistan; Uzbekistan,USSR; Turkmenistan; Uzbekistan,G. L. Pyatakov,Unionphoto; B. Kudoyarov; G. Petrusov; N. Shterser; V. Mikulin; A. Shaykhet; A. Ozersky; S. Tuless; Press Cliché,B. Nabatov,V. Mikulin; N. S. Troshin,p. 29-29,,State Fine Arts Press,The Bolshevist Press; The Dzerjinsky Cellulose and Paper Combine of the Volga; The Kondopoga Cellulose and Paper Combine; The Syas Cellulose and Paper Combine Printing Plant; Newspapers; Delivering the Newspapers; The Press—The Organizer of Socialist Construction; The Radio Combine at Nijny-Novgorod; Electrical Equipment Works in Moscow; The Kulakov and Kazitsky Factories in Leningrad; The Komintern Broadcasting Station; Broadcasting Station of the All-Union Central Council of Trade Unions,"Magazine with mustard-yellow background, black and red text, and black stamp that reads ""Research Dept. of Metro-Goldwyn-Mayer."" Magazine discusses the production of this specfic magazine, along with its socio-political motivations for publication. Describes printing industry, paper factories, magazine transport, and other key stages of the publication process. Abundance of black and white photographs depicting a variety of Soviet/satellite state citizens reading the magazine. Few pages on Soviet radio and broadcasting.",1-2,-2,1
2020.016.001,"USSR in Construction No. 5, 1931",43101,Agriculture & Food Production; Animal Industries; Heavy Industry & Raw Materials; Labor & Workers; Worker Housing & Communal Life,"Chemical Factories, Industrial Food, Kitchen Factories, Communal Nutrition Service",Chemical industry—Soviet Union; Industrial productivity—Soviet Union; Fisheries—Soviet Union; Food industry—Soviet Union; Baking industry—Soviet Union; Sugar industry—Soviet Union; Canning and preserving—Soviet Union; Dairy products industry--Soviet Union; Food Service--Soviet Union; Soviet Union—Economic conditions—1917–1945; ,Russia; ,USSR; ,G. L. Pyatakov,Y. Amursky; M. Alpert; Y. Khalip; Union Photo; S. Tuless; Seferov; G. Yermin; Laptyev; A. Shaykhet; Otryshkin; Press Cliché; R. Karmen; S. Friedland,V. Bobryshev; V. Doning,N. S Troshin,,,State Publishing House of the RSFSR,Voskressensk Chemical Combine; Kalinin Chernorechenskaya Chemical Combine; The Communal Nutrition Service Working for the Plan of Industry and Finance; Bread Factories; Stalin Sugar Factory; The Fish Industry; Milk; Kitchen Factories; Communal Nutrition Service,"Beige cover page with the title in red in the middle. This issue highlights the rapid progress achieved by a variety of industries under Stalin's Five Year Plan - including phosphorus mills, chemical combines, food factories (bread, sugar, canned goods), and dairy stations. The edition contains primarily photographs of these sites, with short descriptions that reference the rivalry between the USSR and capitalist (specifically American) forces.",5,,5
2020.016.002,"USSR in Construction No. 10, 1931",43102,"Agriculture & Food Production; Collectivization & State Farms; Labor & Workers; Light Industry & Consumer Goods; Women & Gender Roles; Youth, Culture, & Education; Transportation Infrastructures",Tajikistan; road building; cotton farming; collectivization; industrialization; silk factories; cotton mills; schools and education; women's liberation;,"Roads--Design and construction--Soviet Union; Tajikistan--History; Dry farming--Soviet Union; Rural industries--Soviet Union; Rural industries—Tajikistan; Tajikistan—History—Soviet period, 1917–1991; Roads—Design and construction—Tajikistan; Dry farming—Tajikistan; Textile factories—Soviet Union; Textile factories—Tajikistan; Women--Social conditions--Tajikistan; Women--Social conditions--Soviet Union;",Tajikistan,USSR; Tajikistan,G. L. Pyatakov,M. Alpert,Boris Lapin,N. S Troshin,,,State Publishing House of the RSFSR,No. 10 is devoted to Tadjikistan — The Seventh Soviet Republic,"Burnt orange cover page with the title in dark green in the middle. This issue is dedicated to Tajikistan, the ""Seventh Socialist Republic"", and is primarily in English with some Arabic at the bottom or towards the center of the spreads. It talks about the various reconstruction efforts in Tajikistan, including the neccessity of roadbuilding and plans for floodgates to facilitate cotton and textile factories. Education is also mentioned, with the establishment of Soviet school of communism teaching principles of industrialization and collectivization.",10,,10
